,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
0,1,Walmart,Retail,611289,,2100000,"Bentonville, Arkansas"
1,2,Amazon,Retail and cloud computing,513983,,1540000,"Seattle, Washington"
2,3,ExxonMobil,Petroleum industry,413680,,62000,"Spring, Texas"
3,4,Apple,Electronics industry,394328,,164000,"Cupertino, California"
4,5,UnitedHealth Group,Healthcare,324162,,400000,"Minnetonka, Minnesota"
5,6,CVS Health,Healthcare,322467,,259500,"Woonsocket, Rhode Island"
6,7,Berkshire Hathaway,Conglomerate,302089,,383000,"Omaha, Nebraska"
7,8,Alphabet,Technology and cloud computing,282836,,156000,"Mountain View, California"
8,9,McKesson Corporation,Health,276711,,48500,"Irving, Texas"
9,10,Chevron Corporation,Petroleum industry,246252,,43846,"San Ramon, California"
10,11,AmerisourceBergen,Pharmaceutical industry,238587,,41500,"Chesterbrook, Pennsylvania"
11,12,Costco,Retail,226954,,304000,"Issaquah, Washington"
12,13,Microsoft,Technology and cloud computing,198270,,221000,"Redmond, Washington"
13,14,Cardinal Health,Healthcare,181364,,46035,"Dublin, Ohio"
14,15,Cigna,Health insurance,180516,,70231,"Bloomfield, Connecticut"
15,16,Marathon Petroleum,Petroleum industry,180012,,17800,"Findlay, Ohio"
16,17,Phillips 66,Petroleum industry,175702,,13000,"Houston, Texas"
17,18,Valero Energy,Petroleum industry,171189,,9743,"San Antonio, Texas"
18,19,Ford Motor Company,Automotive industry,158057,,173000,"Dearborn, Michigan"
19,20,The Home Depot,Retail,157403,,471600,"Atlanta, Georgia"
20,21,General Motors,Automotive industry,156735,,167000,"Detroit, Michigan"
21,22,Elevance Health,Healthcare,156595,,102200,"Indianapolis, Indiana"
22,23,JPMorgan Chase,Financial services,154792,,293723,"New York City, New York"
23,24,Kroger,Retail,148258,,430000,"Cincinnati, Ohio"
24,25,Centene,Healthcare,144547,,74300,"St. Louis, Missouri"
25,26,Verizon Communications,Telecommunications,136835,,117100,"New York City, New York"
26,27,Walgreens Boots Alliance,Pharmaceutical industry,132703,,262500,"Deerfield, Illinois"
27,28,Fannie Mae,Financials,121596,,8000,"Washington, D.C."
28,29,Comcast,Telecommunications,121427,,186000,"Philadelphia, Pennsylvania"
29,30,AT&T,Conglomerate and telecomunications,120741,,160700,"Dallas, Texas"
30,31,Meta Platforms,Technology,116609,,86482,"Menlo Park, California"
31,32,Bank of America,Financials,115053,,216823,"Charlotte, North Carolina"
32,33,Target Corporation,Retail,109120,,440000,"Minneapolis, Minnesota"
33,34,Dell Technologies,Technology,102301,,133000,"Round Rock, Texas"
34,35,Archer Daniels Midland,Food industry,101556,,41181,"Chicago, Illinois"
35,36,Citigroup,Financials,101078,,238104,"New York City, New York"
36,37,United Parcel Service,Transportation,100338,,404700,"Atlanta, Georgia"
37,38,Pfizer,Pharmaceutical industry,100330,,83000,"New York City, New York"
